,WINNER,TOURNAMENT,YEARS_WON,WINNER_NATIONALITY,WINNER_LEFT_OR_RIGHT_HANDED,NBWINS
0,Adriano Panatta,French Open,[1976],Italian,Droitier,1
1,Albert Costa,French Open,[2002],Spanish,Droitier,1
2,Alejandro Olmedo,Wimbledon,[1959],peruvian,Droitier,1
3,Alex Olmedo,Australian Open,[1959],peruvian,Droitier,1
4,Andre Agassi,Australian Open,"[2003, 2001, 2000, 1995]",American,Droitier,4
5,Andre Agassi,French Open,[1999],American,Droitier,1
6,Andre Agassi,U.S. Open,"[1999, 1994]",American,Droitier,2
7,Andre Agassi,Wimbledon,[1992],American,Droitier,1
8,Andres Gimeno,French Open,[1972],Spanish,Droitier,1
9,Andres Gomez,French Open,[1990],Ecuadorian,Gaucher,1
10,Andy Murray,U.S. Open,[2012],British,Droitier,1
11,Andy Murray,Wimbledon,"[2016, 2013]",British,Droitier,2
12,Andy Roddick,U.S. Open,[2003],American,Droitier,1
13,Arthur Ashe,Australian Open,[1970],American,Droitier,1
14,Arthur Ashe,U.S. Open,[1968],American,Droitier,1
15,Arthur Ashe,Wimbledon,[1975],American,Droitier,1
16,Arthur Larsen,U.S. Open,[1950],American,Droitier,1
17,Ashley J. Cooper,Australian Open,"[1958, 1957]",Australian,Droitier,2
18,Ashley J. Cooper,U.S. Open,[1958],Australian,Droitier,1
19,Ashley J. Cooper,Wimbledon,[1958],Australian,Droitier,1
20,Bill Bowrey,Australian Open,[1968],Australian,Droitier,1
21,Bjorn Borg,French Open,"[1981, 1980, 1979, 1978, 1975, 1974]",Swedish,Droitier,6
22,Bjorn Borg,Wimbledon,"[1980, 1979, 1978, 1977, 1976]",Swedish,Droitier,5
23,Boris Becker,Australian Open,"[1996, 1991]",German,Droitier,2
24,Boris Becker,U.S. Open,[1989],German,Droitier,1
25,Boris Becker,Wimbledon,"[1989, 1986, 1985]",German,Droitier,3
26,Brian Teacher,Australian Open,[1980],American,Droitier,1
27,Budge Patty,French Open,[1950],American,Droitier,1
28,C.R. McKinley,Wimbledon,[1963],American,Droitier,1
29,Carlos Alcaraz,U.S. Open,[2022],Spanish,Droitier,1
30,Carlos Alcaraz,Wimbledon,[2023],Spanish,Droitier,1
31,Carlos Moya,French Open,[1998],Spanish,Droitier,1
32,Daniil Medvedev,U.S. Open,[2021],Russian,Droitier,1
33,Dick Savitt,Australian Open,[1951],American,Droitier,1
34,Dominic Thiem,U.S. Open,[2020],Austrian,Droitier,1
35,E. Victor Seixas Jr.,U.S. Open,[1954],American,Droitier,1
36,E. Victor Seixas Jr.,Wimbledon,[1953],American,Droitier,1
37,Frank Sedgman,Australian Open,[1950],Australian,Droitier,1
38,Frank Sedgman,U.S. Open,"[1952, 1951]",Australian,Droitier,2
39,Frank Sedgman,Wimbledon,[1952],Australian,Droitier,1
40,Fred Stolle,French Open,[1965],Australian,Droitier,1
41,Fred Stolle,U.S. Open,[1966],Australian,Droitier,1
42,Gaston Gaudio,French Open,[2004],Argentine,Droitier,1
43,Goran Ivanisevic,Wimbledon,[2001],Croatian,Gaucher,1
44,Guillermo Vilas,Australian Open,"[1979, 1978]",Argentine,Gaucher,2
45,Guillermo Vilas,French Open,[1977],Argentine,Gaucher,1
46,Guillermo Vilas,U.S. Open,[1977],Argentine,Gaucher,1
47,Gustavo Kuerten,French Open,"[2001, 2000, 1997]",Brazilian,Droitier,3
48,Ilie Nastase,French Open,[1973],Romanian,Droitier,1
49,Ilie Nastase,U.S. Open,[1972],Romanian,Droitier,1
50,Ivan Lendl,Australian Open,"[1990, 1989]",Czechoslovakia,Droitier,2
51,Ivan Lendl,French Open,"[1987, 1986, 1984]",Czechoslovakia,Droitier,3
52,Ivan Lendl,U.S. Open,"[1987, 1986, 1985]",Czechoslovakia,Droitier,3
53,J.E. Patty,Wimbledon,[1950],American,Droitier,1
54,Jan Kodes,French Open,"[1971, 1970]",Czech,Droitier,2
55,Jan Kodes,Wimbledon,[1973],Czech,Droitier,1
56,Jaroslav Drobny,French Open,"[1952, 1951]",Czechoslovak,Gaucher,2
57,Jaroslav Drobny,Wimbledon,[1954],Czechoslovak,Gaucher,1
58,Jim Courier,Australian Open,"[1993, 1992]",American,Droitier,2
59,Jim Courier,French Open,"[1992, 1991]",American,Droitier,2
60,Jimmy Connors,Australian Open,[1974],American,Gaucher,1
61,Jimmy Connors,U.S. Open,"[1983, 1982, 1978, 1976, 1974]",American,Gaucher,5
62,Jimmy Connors,Wimbledon,"[1982, 1974]",American,Gaucher,2
63,Johan Kriek,Australian Open,"[1982, 1981]",American,Droitier,2
64,John McEnroe,U.S. Open,"[1984, 1981, 1980, 1979]",American,Gaucher,4
65,John McEnroe,Wimbledon,"[1984, 1983, 1981]",American,Gaucher,3
66,John Newcombe,Australian Open,"[1975, 1973]",Australian,Droitier,2
67,John Newcombe,U.S. Open,"[1973, 1967]",Australian,Droitier,2
68,John Newcombe,Wimbledon,"[1971, 1970, 1967]",Australian,Droitier,3
69,Juan Carlos Ferrero,French Open,[2003],Spanish,Droitier,1
70,Juan Martin del Potro,U.S. Open,[2009],Argentine,Droitier,1
71,Ken McGregor,Australian Open,[1952],Australian,Droitier,1
72,Ken Rosewall,Australian Open,"[1972, 1971, 1955, 1953]",Australian,Droitier,4
73,Ken Rosewall,French Open,"[1968, 1953]",Australian,Droitier,2
74,Ken Rosewall,U.S. Open,"[1970, 1956]",Australian,Droitier,2
75,Lewis Hoad,Australian Open,[1956],Australian,Droitier,1
76,Lewis Hoad,French Open,[1956],Australian,Droitier,1
77,Lewis Hoad,Wimbledon,"[1957, 1956]",Australian,Droitier,2
78,Lleyton Hewitt,U.S. Open,[2001],Australian,Droitier,1
79,Lleyton Hewitt,Wimbledon,[2002],Australian,Droitier,1
80,Malcolm J. Anderson,U.S. Open,[1957],Australian,Droitier,1
81,Manuel Orantes,U.S. Open,[1975],American,Gaucher,1
82,Manuel Santana,French Open,"[1964, 1961]",Spanish,Droitier,2
83,Manuel Santana,U.S. Open,[1965],Spanish,Droitier,1
84,Manuel Santana,Wimbledon,[1966],Spanish,Droitier,1
85,Marat Safin,Australian Open,[2005],Russian,Droitier,1
86,Marat Safin,U.S. Open,[2000],Russian,Droitier,1
87,Marin Cilic,U.S. Open,[2014],Croatian,Droitier,1
88,Mark Edmondson,Australian Open,[1976],Australian,Droitier,1
89,Mats Wilander,Australian Open,"[1988, 1984, 1983]",Swedish,Droitier,3
90,Mats Wilander,French Open,"[1988, 1985, 1982]",Swedish,Droitier,3
91,Mats Wilander,U.S. Open,[1988],Swedish,Droitier,1
92,Mervyn Rose,Australian Open,[1954],Australian,Droitier,1
93,Mervyn Rose,French Open,[1958],Australian,Droitier,1
94,Michael Chang,French Open,[1989],American,Droitier,1
95,Michael Stich,Wimbledon,[1991],German,Droitier,1
96,Neale Fraser,U.S. Open,"[1960, 1959]",Australian,Gaucher,2
