NBWINS,WINNER,TOURNAMENT
1,Adriano Panatta,French Open
1,Albert Costa,French Open
1,Alejandro Olmedo,Wimbledon
1,Alex Olmedo,Australian Open
4,Andre Agassi,Australian Open
1,Andre Agassi,French Open
2,Andre Agassi,U.S. Open
1,Andre Agassi,Wimbledon
1,Andres Gimeno,French Open
1,Andres Gomez,French Open
1,Andy Murray,U.S. Open
2,Andy Murray,Wimbledon
1,Andy Roddick,U.S. Open
1,Arthur Ashe,Australian Open
1,Arthur Ashe,U.S. Open
1,Arthur Ashe,Wimbledon
1,Arthur Larsen,U.S. Open
2,Ashley J. Cooper,Australian Open
1,Ashley J. Cooper,U.S. Open
1,Ashley J. Cooper,Wimbledon
1,Bill Bowrey,Australian Open
6,Bjorn Borg,French Open
5,Bjorn Borg,Wimbledon
2,Boris Becker,Australian Open
1,Boris Becker,U.S. Open
3,Boris Becker,Wimbledon
1,Brian Teacher,Australian Open
1,Budge Patty,French Open
1,C.R. McKinley,Wimbledon
1,Carlos Alcaraz,U.S. Open
1,Carlos Moya,French Open
1,Daniil Medvedev,U.S. Open
1,Dick Savitt,Australian Open
1,Dominic Thiem,U.S. Open
1,E. Victor Seixas Jr.,U.S. Open
1,E. Victor Seixas Jr.,Wimbledon
1,Frank Sedgman,Australian Open
2,Frank Sedgman,U.S. Open
1,Frank Sedgman,Wimbledon
1,Fred Stolle,French Open
1,Fred Stolle,U.S. Open
1,Gaston Gaudio,French Open
1,Goran Ivanisevic,Wimbledon
2,Guillermo Vilas,Australian Open
1,Guillermo Vilas,French Open
1,Guillermo Vilas,U.S. Open
3,Gustavo Kuerten,French Open
1,Ilie Nastase,French Open
1,Ilie Nastase,U.S. Open
2,Ivan Lendl,Australian Open
3,Ivan Lendl,French Open
3,Ivan Lendl,U.S. Open
1,J.E. Patty,Wimbledon
2,Jan Kodes,French Open
1,Jan Kodes,Wimbledon
2,Jaroslav Drobny,French Open
1,Jaroslav Drobny,Wimbledon
2,Jim Courier,Australian Open
2,Jim Courier,French Open
1,Jimmy Connors,Australian Open
5,Jimmy Connors,U.S. Open
2,Jimmy Connors,Wimbledon
2,Johan Kriek,Australian Open
4,John McEnroe,U.S. Open
3,John McEnroe,Wimbledon
2,John Newcombe,Australian Open
2,John Newcombe,U.S. Open
3,John Newcombe,Wimbledon
1,Juan Carlos Ferrero,French Open
1,Juan Martin del Potro,U.S. Open
1,Ken McGregor,Australian Open
4,Ken Rosewall,Australian Open
2,Ken Rosewall,French Open
2,Ken Rosewall,U.S. Open
1,Lewis Hoad,Australian Open
1,Lewis Hoad,French Open
2,Lewis Hoad,Wimbledon
1,Lleyton Hewitt,U.S. Open
1,Lleyton Hewitt,Wimbledon
1,Malcolm J. Anderson,U.S. Open
1,Manuel Orantes,U.S. Open
2,Manuel Santana,French Open
1,Manuel Santana,U.S. Open
1,Manuel Santana,Wimbledon
1,Marat Safin,Australian Open
1,Marat Safin,U.S. Open
1,Marin Cilic,U.S. Open
1,Mark Edmondson,Australian Open
3,Mats Wilander,Australian Open
3,Mats Wilander,French Open
1,Mats Wilander,U.S. Open
1,Mervyn Rose,Australian Open
1,Mervyn Rose,French Open
1,Michael Chang,French Open
1,Michael Stich,Wimbledon
2,Neale Fraser,U.S. Open
1,Neale Fraser,Wimbledon
2,Nicola Pietrangeli,French Open
10,Novak Djokovic,Australian Open
2,Novak Djokovic,French Open
3,Novak Djokovic,U.S. Open
7,Novak Djokovic,Wimbledon
1,Pat Cash,Wimbledon
2,Patrick Rafter,U.S. Open
2,Pete Sampras,Australian Open
5,Pete Sampras,U.S. Open
7,Pete Sampras,Wimbledon
1,Petr Korda,Australian Open
1,R. Savitt,Wimbledon
2,Rafael Nadal,Australian Open
14,Rafael Nadal,French Open
4,Rafael Nadal,U.S. Open
2,Rafael Nadal,Wimbledon
1,Rafael Osuna,U.S. Open
1,Richard Krajicek,Wimbledon
3,Rod Laver,Australian Open
2,Rod Laver,French Open
2,Rod Laver,U.S. Open
4,Rod Laver,Wimbledon
6,Roger Federer,Australian Open
1,Roger Federer,French Open
5,Roger Federer,U.S. Open
8,Roger Federer,Wimbledon
1,Roscoe Tanner,Australian Open (Jan)
6,Roy Emerson,Australian Open
2,Roy Emerson,French Open
2,Roy Emerson,U.S. Open
2,Roy Emerson,Wimbledon
2,Sergi Bruguera,French Open
1,Stan Smith,U.S. Open
1,Stan Smith,Wimbledon
1,Stan Wawrinka,Australian Open
1,Stan Wawrinka,French Open
1,Stan Wawrinka,U.S. Open
2,Stefan Edberg,Australian Open
2,Stefan Edberg,U.S. Open
2,Stefan Edberg,Wimbledon
1,Sven Davidson,French Open
1,Thomas Johannson,Australian Open
1,Thomas Muster,French Open
1,Tony Roche,French Open
2,Tony Trabert,French Open
2,Tony Trabert,U.S. Open
1,Tony Trabert,Wimbledon
1,Vitas Gerulaitis,Australian Open (Dec)
1,Yannick Noah,French Open
1,Yevgeny Kafelnikov,Australian Open
1,Yevgeny Kafelnikov,French Open
